Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary,,,,
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,74.7,896.4,USD,Number of NAT Gateways (2),,,,
My Estimate,US East (N. Virginia),Amazon EC2,0,1281.1,15373.2,USD,"Operating system (Linux), Quantity (10), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (c5.xlarge)",,,,
My Estimate,US East (N. Virginia),Amazon EC2,0,938,11256,USD,"Operating system (Linux), Quantity (10), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (m5.large)",,,,
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,36.87,442.44,USD,Number of Application Load Balancers (1),,,,
My Estimate,US East (N. Virginia),Amazon Elastic IP,0,73,876,USD,"Number of EC2 instances (20), Number of EIPs per instance (1)",,,,
My Estimate,US East (N. Virginia),S3 Standard,0,7.71,92.52,USD,S3 Standard storage (300 GB per month),,,,
My Estimate,US East (N. Virginia),S3 One Zone - Infrequent Access,0,9.6,115.2,USD,S3 One Zone-IA storage (300 GB per month),,,,
My Estimate,US East (N. Virginia),S3 Glacier,0,13.95,167.4,USD,S3 Glacier storage (300 GB per month),,,,
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,42.71,512.52,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (2 GB per hour), Average number of new TCP connections (3 per second), Processed bytes per NLB for UDP (2 GB per hour), Average number of new UDP Flows (2 per second), Processed bytes per NLB for TLS (2 GB per hour), Average number of new TLS connections (2 per second)",,,,
My Estimate,US East (N. Virginia),Amazon Aurora MySQL-Compatible,0,3437.2,41246.4,USD,"Change records per statement (0.38), (1 instances)  db.r5.8xlarge  Memory optimized  OnDemand, Storage amount (500 GB)",,,,
,,,Total,5914.84,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,,,,
,,,,,,,,,,,
," The MySQL RDS database type were changed to db.r58xlarge. It was assumed that, this change will not have much impact on the application. Number of EC2 instances were decreased by 4 in the initial estimation it was assumed to make the application more accebile and confertable. Size of S3 buckets were reduced from 500 GB to 300GB each so that we are able to mantain alloted budget accordignly.",,,,,,,,,,
,,,,,,,,,,,
