Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,36.5,438,USD,Number of Site-to-Site VPN Connections (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,74.7,896.4,USD,Number of NAT Gateways (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US East (N. Virginia),Amazon EC2,0,2934.88,35218.56,USD,"Operating system (Linux), Quantity (4), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (300 GB), Instance type (c5.9xlarge)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,476.69,5720.28,USD,Number of Application Load Balancers (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US East (N. Virginia),Amazon Elastic IP,0,41.9,502.8,USD,"Number of EC2 instances (6), Number of EIPs per instance (1), Number of EIP remaps (200)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US East (N. Virginia),S3 Standard,0,7.71,92.52,USD,S3 Standard storage (300 GB per month),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US East (N. Virginia),S3 One Zone - Infrequent Access,0,6.6,79.2,USD,S3 One Zone-IA storage (300 GB per month),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US East (N. Virginia),Amazon S3 Glacier (Glacier API only),0,13.95,167.4,USD,"Data Transfer, Data transfer cost (0), S3 Glacier storage (300 GB per month)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US West (N. California),Amazon RDS for MySQL,0,1177.958,14135.5,USD,"Quantity (2), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (db.r5.2xlarge)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US East (N. Virginia),Amazon EC2,0,376.82,4521.84,USD,"Operating system (Linux), Quantity (2), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (300 GB), Instance type (m5a.2xlarge)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,924.424,11093.09,USD,"Quantity (2), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (db.r5.2xlarge)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,6072.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
," The MySQL RDS database type were changed to db.r5.2xlarge. It was assumed that, this change will not have much impact on the application. Number and size of EC2 instances were decreased by 6 and 300GB respectively in the initial estimation it was assumed to make the application more accebile and confertable. Size of S3 buckets were reduced from 500 GB to 300GB each so that we are able to mantain alloted budget accordignly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
