Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address,,,,,,,,,
0c603637-ce78-4dce-b8bf-f15221167b1d,"2020-06-02, 04:01:37 PM",Accountant,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:546586657828:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udtrailbucket""}]",,us-east-1,,70.120.101.196,,,,,,,,,
44d29815-7319-467b-94df-d2fd1cf69383,"2020-06-02, 04:01:37 PM",Accountant,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udtrailbucket""}]",,us-east-1,,70.120.101.196,,,,,,,,,
c1bccec4-2376-4fca-b333-244b199697f8,"2020-06-02, 04:01:37 PM",Accountant,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-1,,70.120.101.196,,,,,,,,,
cbb9cc3b-427b-412b-b99b-528a1fc4af53,"2020-06-02, 04:01:37 PM",Accountant,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udtrailbucket""}]",,us-east-1,,70.120.101.196,,,,,,,,,
d7c9977e-7242-4576-9166-8f2b53e8e396,"2020-06-02, 04:01:37 PM",Accountant,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:546586657828:trail/Udacity_Trail""}]",,us-east-1,,70.120.101.196,,,,,,,,,
7d0b0c58-6e85-4c4d-8849-4425bf50b812,"2020-06-02, 03:59:41 PM",Accountant,DeleteBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cf-templates-lqv3z0rlwbrg-us-east-1""}]",,us-east-1,,70.120.101.196,,,,,,,,,
10508b0c-190f-4388-b310-105d8ab5679e,"2020-06-02, 03:59:39 PM",Accountant,DeleteBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cf-templates-lqv3z0rlwbrg-us-east-1""}]",,us-east-1,BucketNotEmpty,70.120.101.196,,,,,,,,,
48bacc46-cbd5-4d4e-bfe5-aed3075b21d0,"2020-06-02, 03:59:02 PM",Accountant,DeleteBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""uttrailbucket""}]",,us-east-1,,70.120.101.196,,,,,,,,,
d2e281f1-6bdc-483a-a2ef-6e5cf1447c97,"2020-06-02, 03:59:00 PM",Accountant,DeleteBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""uttrailbucket""}]",,us-east-1,BucketNotEmpty,70.120.101.196,,,,,,,,,
3676bb42-7da9-448c-86e7-d6474a85ad58,"2020-06-02, 03:58:35 PM",Accountant,DeleteTrail,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:546586657828:trail/Udacity_Trail""}]",,us-east-1,,70.120.101.196,,,,,,,,,
237566bb-7bd6-48c9-b8d7-6b082def515a,"2020-06-02, 03:33:53 PM",Accountant,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:546586657828:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""uttrailbucket""}]",,us-east-1,,70.120.101.196,,,,,,,,,
2b536e0c-1d14-492a-9ea1-da0ea3bf06af,"2020-06-02, 03:33:53 PM",Accountant,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-1,,70.120.101.196,,,,,,,,,
cb7fc598-1643-4daf-ac0a-b2f92d8b2c19,"2020-06-02, 03:33:53 PM",Accountant,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:546586657828:trail/Udacity_Trail""}]",,us-east-1,,70.120.101.196,,,,,,,,,
d0172678-dbe2-4fb8-9998-952f3fc8b794,"2020-06-02, 03:33:53 PM",Accountant,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""uttrailbucket""}]",,us-east-1,,70.120.101.196,,,,,,,,,
122a2430-3130-4bc6-8ba1-2fc110eca5df,"2020-06-02, 03:33:52 PM",Accountant,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""uttrailbucket""}]",,us-east-1,,70.120.101.196,,,,,,,,,
edb1228a-7666-486d-b658-03ec9a489448,"2020-06-02, 03:23:37 PM",Accountant,PutMetricAlarm,CloudWatch Alarm,"[{""resourceType"":""AWS::CloudWatch::Alarm"",""resourceName"":""AWS Billing Alarm""}]",,us-east-1,,70.120.101.196,,,,,,,,,
