Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,36.5,438,USD,Number of Site-to-Site VPN Connections (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,74.7,896.4,USD,Number of NAT Gateways (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US East (N. Virginia),Amazon EC2,0,3768.6,45223.2,USD,"Operating system (Linux), Quantity (5), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (c5.9xlarge)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,476.69,5720.28,USD,Number of Application Load Balancers (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US East (N. Virginia),Amazon Elastic IP,0,56.5,678,USD,"Number of EC2 instances (10), Number of EIPs per instance (1), Number of EIP remaps (200)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US West (N. California),S3 Standard,0,14.53,174.36,USD,S3 Standard storage (500 GB per month),,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US West (N. California),S3 One Zone - Infrequent Access,0,13.725,164.7,USD,S3 One Zone-IA storage (500 GB per month),,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US East (N. Virginia),Amazon S3 Glacier (Glacier API only),0,23.25,279,USD,"Data Transfer, Data transfer cost (0), S3 Glacier storage (500 GB per month)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US West (N. California),Amazon RDS for MySQL,0,1177.958,14135.5,USD,"Quantity (2), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (db.r5.2xlarge)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US East (N. Virginia),Amazon EC2,0,3414.55,40974.6,USD,"Operating system (Linux), Quantity (5), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (m5a.8xlarge)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,924.424,11093.09,USD,"Quantity (2), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (db.r5.2xlarge)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US West (N. California),Amazon Elastic IP,0,56.5,678,USD,"Number of EC2 instances (10), Number of EIPs per instance (1), Number of EIP remaps (200)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US West (N. California),Amazon EC2,0,4015.7,48188.4,USD,"Operating system (Linux), Quantity (5), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (m5a.8xlarge)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US West (N. California),Elastic Load Balancing,0,480.63,5767.56,USD,Number of Application Load Balancers (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US West (N. California),Amazon S3 Glacier (Glacier API only),0,25.88,310.56,USD,"Data Transfer, Data transfer cost (0), S3 Glacier storage (500 GB per month)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US West (N. California),Amazon EC2,0,4420.85,53050.2,USD,"Operating system (Linux), Quantity (5), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (m5.8xlarge)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US West (N. California),Amazon Virtual Private Cloud (VPC),0,36.5,438,USD,Number of Site-to-Site VPN Connections (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Estimate,US West (N. California),Amazon Virtual Private Cloud (VPC),0,79.68,956.16,USD,Number of NAT Gateways (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,19097.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Having higher budget allocation it was possible to improve the performcance of resources. It was also possible to replicate resources to multiple regions to make the application easily accessible and maintain failovers. The RDS MySQL database performance were increased by adding 500GB storage which gives more performance to the application.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
