Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,36.5,438,USD,Number of Site-to-Site VPN Connections (1)
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,74.7,896.4,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),Amazon EC2,0,3014.88,36178.56,USD,"Operating system (Linux), Quantity (4), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (c5.9xlarge)"
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,476.69,5720.28,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),Amazon Elastic IP,0,49.2,590.4,USD,"Number of EC2 instances (8), Number of EIPs per instance (1), Number of EIP remaps (200)"
My Estimate,US West (N. California),S3 Standard,0,14.53,174.36,USD,S3 Standard storage (500 GB per month)
My Estimate,US West (N. California),S3 One Zone - Infrequent Access,0,13.725,164.7,USD,S3 One Zone-IA storage (500 GB per month)
My Estimate,US East (N. Virginia),Amazon S3 Glacier (Glacier API only),0,23.25,279,USD,"Data Transfer, Data transfer cost (0), S3 Glacier storage (500 GB per month)"
My Estimate,US West (N. California),Amazon RDS for MySQL,0,2217.916,26614.99,USD,"Quantity (2), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (db.r5.4xlarge)"
My Estimate,US East (N. Virginia),Amazon EC2,0,833.64,10003.68,USD,"Operating system (Linux), Quantity (4), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (m5a.2xlarge)"
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,1733.848,20806.18,USD,"Quantity (2), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (db.r5.4xlarge)"
,,,Total,8488.879,,,
,,,,,,,
,,,,,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,
