Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary,,,,
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,74.7,896.4,USD,Number of NAT Gateways (2),,,,
My Estimate,US East (N. Virginia),Amazon EC2,0,640.55,7686.6,USD,"Operating system (Linux), Quantity (5), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (c5.xlarge)",,,,
My Estimate,US East (N. Virginia),Amazon EC2,0,938,11256,USD,"Operating system (Linux), Quantity (10), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (m5.large)",,,,
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,36.87,442.44,USD,Number of Application Load Balancers (1),,,,
My Estimate,US East (N. Virginia),Amazon Elastic IP,0,73,876,USD,"Number of EC2 instances (20), Number of EIPs per instance (1)",,,,
My Estimate,US East (N. Virginia),S3 Standard,0,12.85,154.2,USD,S3 Standard storage (500 GB per month),,,,
My Estimate,US East (N. Virginia),S3 One Zone - Infrequent Access,0,16,192,USD,S3 One Zone-IA storage (500 GB per month),,,,
My Estimate,US East (N. Virginia),S3 Glacier,0,23.25,279,USD,S3 Glacier storage (500 GB per month),,,,
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,42.71,512.52,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (2 GB per hour), Average number of new TCP connections (3 per second), Processed bytes per NLB for UDP (2 GB per hour), Average number of new UDP Flows (2 per second), Processed bytes per NLB for TLS (2 GB per hour), Average number of new TLS connections (2 per second)",,,,
My Estimate,US East (N. Virginia),Amazon Aurora MySQL-Compatible,0,6874.4,82492.8,USD,"Change records per statement (0.38), (1 instances)  db.r5.16xlarge  Memory optimized  OnDemand, Storage amount (1000 GB)",,,,
My Estimate,US West (N. California),Amazon Elastic IP,0,73,876,USD,"Number of EC2 instances (20), Number of EIPs per instance (1)",,,,
My Estimate,US West (N. California),Amazon Aurora MySQL-Compatible,0,7585.2,91022.4,USD,"Change records per statement (0.38), (1 instances)  db.r5.16xlarge  Memory optimized  OnDemand, Storage amount (1000 GB)",,,,
My Estimate,US West (N. California),Amazon EC2,0,789.1,9469.2,USD,"Operating system (Linux), Quantity (5), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (c5.xlarge)",,,,
My Estimate,US West (N. California),Amazon EC2,0,1118.3,13419.6,USD,"Operating system (Linux), Quantity (10), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (m5.large)",,,,
My Estimate,US West (N. California),Elastic Load Balancing,0,44.68,536.16,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (2 GB per hour), Average number of new TCP connections (3 per second), Processed bytes per NLB for UDP (2 GB per hour), Average number of new UDP Flows (2 per second), Processed bytes per NLB for TLS (2 GB per hour), Average number of new TLS connections (2 per second)",,,,
My Estimate,US West (N. California),Amazon Virtual Private Cloud (VPC),0,79.68,956.16,USD,Number of NAT Gateways (2),,,,
,,,Total,18422.29,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,,,,
,,,,,,,,,,,
,Having higher budget allocation it was possible to improve the performcance of resources. It was also possible to replicate resources to multiple regions to make the application easily accessible and maintain failovers. The RDS MySQL database performance were increased by adding db.r5.16xlarge which gives more performance to the application.,,,,,,,,,,
